# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 10.1 Build 153 11/29/2010 SJ Full Version
# File: C:/Users/danleaf/Desktop/voice/adusb.csv
# Generated on: Sat Jul 25 12:59:54 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength
altera_reserved_tck,Input,,,,,,
altera_reserved_tdi,Input,,,,,,
altera_reserved_tdo,Output,,,,,,
altera_reserved_tms,Input,,,,,,
i_ad_data[7],Input,PIN_H22,6,B6_N3,,,
i_ad_data[6],Input,PIN_H21,6,B6_N2,,,
i_ad_data[5],Input,PIN_G18,6,B6_N1,,,
i_ad_data[4],Input,PIN_G17,6,B6_N0,,,
i_ad_data[3],Input,PIN_F22,6,B6_N2,,,
i_ad_data[2],Input,PIN_F21,6,B6_N2,,,
i_ad_data[1],Input,PIN_F20,6,B6_N1,,,
i_ad_data[0],Input,PIN_F19,6,B6_N1,,,
i_clk40M,Input,PIN_G22,6,B6_N3,,,
i_clk50M,Input,PIN_G1,1,B1_N3,,,
i_rst_n,Input,PIN_E4,1,B1_N0,,,
i_trig,Input,PIN_Y3,3,B3_N3,,,
i_usb_flagb,Input,PIN_B19,7,B7_N1,3.0-V LVTTL,,Maximum Current
i_usb_flagc,Input,PIN_C19,7,B7_N0,,,
io_usb_data[15],Bidir,PIN_B13,7,B7_N3,3.0-V LVTTL,,Maximum Current
io_usb_data[14],Bidir,PIN_A13,7,B7_N3,3.0-V LVTTL,,Maximum Current
io_usb_data[13],Bidir,PIN_G14,7,B7_N1,3.0-V LVTTL,,Maximum Current
io_usb_data[12],Bidir,PIN_F14,7,B7_N0,3.0-V LVTTL,,Maximum Current
io_usb_data[11],Bidir,PIN_E14,7,B7_N2,3.0-V LVTTL,,Maximum Current
io_usb_data[10],Bidir,PIN_E15,7,B7_N1,3.0-V LVTTL,,Maximum Current
io_usb_data[9],Bidir,PIN_D15,7,B7_N1,3.0-V LVTTL,,Maximum Current
io_usb_data[8],Bidir,PIN_C15,7,B7_N2,3.0-V LVTTL,,Maximum Current
io_usb_data[7],Bidir,PIN_B15,7,B7_N3,3.0-V LVTTL,,Maximum Current
io_usb_data[6],Bidir,PIN_A15,7,B7_N2,3.0-V LVTTL,,Maximum Current
io_usb_data[5],Bidir,PIN_D17,7,B7_N0,3.0-V LVTTL,,Maximum Current
io_usb_data[4],Bidir,PIN_C17,7,B7_N1,3.0-V LVTTL,,Maximum Current
io_usb_data[3],Bidir,PIN_B17,7,B7_N2,3.0-V LVTTL,,Maximum Current
io_usb_data[2],Bidir,PIN_A17,7,B7_N1,3.0-V LVTTL,,Maximum Current
io_usb_data[1],Bidir,PIN_B18,7,B7_N1,3.0-V LVTTL,,Maximum Current
io_usb_data[0],Bidir,PIN_A18,7,B7_N1,3.0-V LVTTL,,Maximum Current
o_clk_ad,Output,PIN_J17,6,B6_N1,,,
o_clk_da,Output,PIN_J18,6,B6_N2,,,
o_da_data[7],Output,PIN_J21,6,B6_N3,,,
o_da_data[6],Output,PIN_J22,6,B6_N3,,,
o_da_data[5],Output,PIN_K17,6,B6_N2,,,
o_da_data[4],Output,PIN_K18,6,B6_N2,,,
o_da_data[3],Output,PIN_K19,6,B6_N3,,,
o_da_data[2],Output,PIN_K21,6,B6_N3,,,
o_da_data[1],Output,PIN_K22,6,B6_N3,,,
o_da_data[0],Output,PIN_L21,6,B6_N3,,,
o_led[3],Output,PIN_V14,4,B4_N2,,,
o_led[2],Output,PIN_W14,4,B4_N2,,,
o_led[1],Output,PIN_AA14,4,B4_N3,,,
o_led[0],Output,PIN_AB14,4,B4_N3,,,
o_trig,Output,PIN_U16,4,B4_N0,,,
o_usb_addr0,Output,PIN_G13,7,B7_N1,3.0-V LVTTL,,Maximum Current
o_usb_addr1,Output,PIN_E12,7,B7_N3,3.0-V LVTTL,,Maximum Current
o_usb_ifclk,Output,PIN_B20,7,B7_N1,3.0-V LVTTL,,Maximum Current
o_usb_slcs,Output,PIN_F11,7,B7_N3,3.0-V LVTTL,,Maximum Current
o_usb_sloe,Output,PIN_E13,7,B7_N3,3.0-V LVTTL,,Maximum Current
o_usb_slpked,Output,PIN_E11,7,B7_N3,3.0-V LVTTL,,
o_usb_slrd,Output,PIN_W6,3,B3_N2,3.0-V LVTTL,,Maximum Current
o_usb_slwr,Output,PIN_V6,3,B3_N3,3.0-V LVTTL,,Maximum Current
