# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Full Version
# File: C:\Users\danleaf\Source\Repos\Ultrasonic-Flaw-Detector\fpga\usb.csv
# Generated on: Tue Aug 18 21:50:53 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Reserved,Current Strength,I/O Bank,VREF Group,Fitter Location,Slew Rate,Differential Pair
altera_reserved_tck,Input,,,,,,,PIN_L2,,
altera_reserved_tdi,Input,,,,,,,PIN_L5,,
altera_reserved_tdo,Output,,,,,,,PIN_L4,,
altera_reserved_tms,Input,,,,,,,PIN_L1,,
i_ad_data[7],Input,PIN_H22,,,,6,B6_N3,PIN_H22,,
i_ad_data[6],Input,PIN_H21,,,,6,B6_N2,PIN_H21,,
i_ad_data[5],Input,PIN_G18,,,,6,B6_N1,PIN_G18,,
i_ad_data[4],Input,PIN_G17,,,,6,B6_N0,PIN_G17,,
i_ad_data[3],Input,PIN_F22,,,,6,B6_N2,PIN_F22,,
i_ad_data[2],Input,PIN_F21,,,,6,B6_N2,PIN_F21,,
i_ad_data[1],Input,PIN_F20,,,,6,B6_N1,PIN_F20,,
i_ad_data[0],Input,PIN_F19,,,,6,B6_N1,PIN_F19,,
i_clk40M,Input,PIN_G22,,,,6,B6_N3,PIN_G22,,
i_clk50M,Input,PIN_G1,,,,1,B1_N3,PIN_G1,,
i_rst_n,Input,PIN_E4,,,,1,B1_N0,PIN_E4,,
i_trig,Input,PIN_Y3,,,,3,B3_N3,PIN_Y3,,
i_usb_flagb,Input,PIN_B19,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_B19,,
i_usb_flagc,Input,PIN_C19,,,,7,B7_N0,PIN_C19,,
io_usb_data[15],Bidir,PIN_B13,3.0-V LVTTL,,Maximum Current,7,B7_N3,PIN_B13,,
io_usb_data[14],Bidir,PIN_A13,3.0-V LVTTL,,Maximum Current,7,B7_N3,PIN_A13,,
io_usb_data[13],Bidir,PIN_G14,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_G14,,
io_usb_data[12],Bidir,PIN_F14,3.0-V LVTTL,,Maximum Current,7,B7_N0,PIN_F14,,
io_usb_data[11],Bidir,PIN_E14,3.0-V LVTTL,,Maximum Current,7,B7_N2,PIN_E14,,
io_usb_data[10],Bidir,PIN_E15,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_E15,,
io_usb_data[9],Bidir,PIN_D15,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_D15,,
io_usb_data[8],Bidir,PIN_C15,3.0-V LVTTL,,Maximum Current,7,B7_N2,PIN_C15,,
io_usb_data[7],Bidir,PIN_B15,3.0-V LVTTL,,Maximum Current,7,B7_N3,PIN_B15,,
io_usb_data[6],Bidir,PIN_A15,3.0-V LVTTL,,Maximum Current,7,B7_N2,PIN_A15,,
io_usb_data[5],Bidir,PIN_D17,3.0-V LVTTL,,Maximum Current,7,B7_N0,PIN_D17,,
io_usb_data[4],Bidir,PIN_C17,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_C17,,
io_usb_data[3],Bidir,PIN_B17,3.0-V LVTTL,,Maximum Current,7,B7_N2,PIN_B17,,
io_usb_data[2],Bidir,PIN_A17,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_A17,,
io_usb_data[1],Bidir,PIN_B18,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_B18,,
